tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
21852.0,UAE81W,VLG91MM,29.717828561074363,15.729722101758272,18.14018329486372,10.458918047299935,12.720976585573299,TMA,12.296658967256148,TWR,0.4243330907643049,TWR,0.4243330907643049,3.0,False,9.720976585573299,B77L,A320,,,,False,
21856.0,VLG6LC,VLG91MM,16.466890104938134,7.587619189982457,18.010800967148935,10.400653682759934,3.208866436610962,TMA,2.5636805789032877,TWR,0.5662209696348575,TWR,0.5662209696348575,3.0,False,0.20886643661096205,A321,A320,,,,False,
21916.0,VLG6LC,DLH98Y,17.035744210270796,3.8184852538720735,18.22159110147076,10.487937987348662,6.774055846643646,TMA,6.221647256288229,TWR,0.3383779662423335,TWR,0.3383779662423335,3.0,False,3.7740558466436456,A321,A320,,,,False,
21920.0,VLG6LC,DLH98Y,17.24223054373816,3.644681159268077,18.1019913620262,10.438764407599477,6.848266631047646,TMA,6.392667701277365,TWR,0.4674674647312096,TWR,0.4674674647312096,3.0,False,3.848266631047646,A321,A320,,,,False,
21924.0,VLG6LC,DLH98Y,17.462606501783025,3.4881541254367834,17.972925185152842,10.378463205085248,6.909181165064524,TMA,6.553553548023175,TWR,0.6099250326881251,TWR,0.6099250326881251,3.0,False,3.909181165064524,A321,A320,,,,False,
22004.0,UAE81W,DLH97F,21.852336339285014,12.976052990255695,18.159984504203365,10.466992028227937,4.464173942086316,TMA,4.06675914651012,TWR,0.4029754688864873,TWR,0.4029754688864873,3.0,False,1.4641739420863162,B77L,A321,,,,False,
22008.0,VLG91MM,DLH97F,14.106757947422436,3.4968223756166443,18.032116534202505,10.406028764020252,7.946418875969555,TMA,7.2448555345612,TWR,0.5446302235740683,TWR,0.5446302235740683,3.0,False,4.946418875969555,A320,A321,,,,False,
22088.0,DLH98Y,THY1852,16.408975267686454,1.733604958345355,18.20927640809025,10.484295071229626,8.933961139823127,TMA,8.343501265617762,TWR,0.3510380689814086,TWR,0.3510380689814086,3.0,False,5.933961139823127,A320,B738,,,,False,
22092.0,DLH97F,THY1852,16.560725990383972,7.017370602709047,18.09220718223174,10.435078318839034,3.7451516222815213,TMA,3.091675363048393,TWR,0.4778903101062146,TWR,0.4778903101062146,3.0,False,0.7451516222815213,A321,B738,,,,False,
22096.0,DLH97F,THY1852,16.56078904116432,6.7782875898929,17.95866284857781,10.369121448323092,3.8533282990554216,TMA,3.3255932790721943,TWR,0.6268112515176619,TWR,0.6268112515176619,3.0,False,0.8533282990554216,A321,B738,,,,False,
