tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,thr_distance_nm,ATCZone,min_required_nm,is_below_minima,margin_nm
19152.0,DLH03K,VLG593U,16.536415206937,4.126369738487501,16.447551030284867,8.532279984093178,4.406806319118772,,TMA,3.0,False,1.4068063191187719
19156.0,DLH03K,VLG593U,16.51697551446816,3.871120873604284,16.441173696739572,8.327721603080501,4.457245335130087,,TMA,3.0,False,1.4572453351300867
19164.0,VLG38HJ,VLG593U,18.22606013793149,10.498785568334116,16.438885868100517,7.905843636045259,3.14918080379132,,TMA,3.0,False,0.14918080379132004
19168.0,VLG38HJ,VLG593U,18.10839055502979,10.444252367535402,16.442380841067628,7.694104795867038,3.2154159968765597,,TMA,3.0,False,0.21541599687655966
19172.0,VLG593U,VLG38HJ,16.445009655256072,7.472517534245387,17.970922280533422,10.384364419636771,3.2874399802801446,,TMA,3.0,False,0.2874399802801446
19176.0,VLG593U,VLG38HJ,16.45035656287897,7.247958576875701,17.825305599192095,10.315902524937393,3.361958494822141,,TMA,3.0,False,0.36195849482214104
19180.0,VLG593U,VLG38HJ,16.45543822809059,7.013770998055646,17.66479860463131,10.241363572845428,3.4467240024673935,,TMA,3.0,False,0.4467240024673935
19184.0,VLG593U,VLG38HJ,16.4624332454274,6.781467142675355,17.498232335153777,10.162763511162556,3.536388678556519,,TMA,3.0,False,0.5363886785565191
19188.0,VLG593U,VLG38HJ,16.46629168099401,6.540150465827611,17.340608621241874,10.09129750534804,3.657195019177825,,TMA,3.0,False,0.6571950191778249
19192.0,VLG593U,VLG38HJ,16.471349519948024,6.296254886559784,17.177493209234328,10.012082975968852,3.782329612812759,,TMA,3.0,False,0.782329612812759
19196.0,VLG593U,VLG38HJ,16.474989986514274,6.046461625270227,17.021925891632897,9.92646044045127,3.9183580349572744,,TMA,3.0,False,0.9183580349572744
19200.0,VLG593U,VLG38HJ,16.47706286315752,5.785826039693646,16.895144637795394,9.80696724395132,4.042816957872717,,TMA,3.0,False,1.0428169578727173
19204.0,VLG593U,VLG38HJ,16.482575472997585,5.525601637500488,16.77979442256869,9.667936458257484,4.152984092341319,,TMA,3.0,False,1.1529840923413186
19208.0,VLG593U,VLG38HJ,16.487925758786833,5.2589854332761385,16.704510599259073,9.50235884700576,4.248897141785121,,TMA,3.0,False,1.248897141785121
19212.0,VLG593U,VLG38HJ,16.48913373185551,4.978925557663907,16.67194516840748,9.307913292336726,4.332846042531617,,TMA,3.0,False,1.3328460425316173
